Image,Level,Method,Optimization,Thresholds,Objective Value,SSIM,PSNR,Unique Values
T42,5,Otsu,Variable Neighborhood Search,[ 29  70 116 167],7318309.168100314,0.4782463249444626,10.376443379160513,"[0, 51, 102, 153, 204]"
T42,5,Kapur,Variable Neighborhood Search,[ 38  76 126 184],-17.295761346817017,0.39986422203403643,13.275156823454566,"[0, 51, 102, 153, 204, 255]"
T52,2,Otsu,Simulated Annealing,[57],36070444.14698815,0.6254933978105393,19.119145240116538,"[0, 127]"
T52,2,Kapur,Simulated Annealing,[124],-7.64293909072876,0.1596738349707836,5.012542791068321,"[0, 128, 255]"
T52,2,Otsu,Variable Neighborhood Search,[61],36252469.8748746,0.6254933978105393,19.119145240116538,"[0, 127]"
T52,2,Kapur,Variable Neighborhood Search,[125],-7.645824670791626,0.1596738349707836,5.012542791068321,"[0, 128, 255]"
T52,3,Otsu,Simulated Annealing,[ 45 112],15534032.697723359,0.6055590248124427,13.950123452388876,"[0, 85, 170]"
T52,3,Kapur,Simulated Annealing,[145   3],-9.126497864723206,0.2967324174109672,8.006445677739064,"[0, 85, 170, 255]"
T52,3,Otsu,Variable Neighborhood Search,[ 44 111],15541950.433155946,0.6055590248124427,13.950123452388876,"[0, 85, 170]"
T52,3,Kapur,Variable Neighborhood Search,[121 188],-11.338573455810547,0.2967324174109672,8.006445677739064,"[0, 85, 170, 255]"
T52,4,Otsu,Simulated Annealing,[ 36  86 129],9651967.416908544,0.5393467477024719,11.509577148836376,"[0, 63, 126, 189]"
T52,4,Kapur,Simulated Annealing,[ 4 20 32],-10.52356407046318,0.37873366844825773,10.869696996447049,"[0, 64, 127, 191, 255]"
T52,4,Otsu,Variable Neighborhood Search,[ 41  90 130],9796373.417612795,0.5393467477024719,11.509577148836376,"[0, 63, 126, 189]"
T52,4,Kapur,Variable Neighborhood Search,[ 91 131 188],-14.27189040184021,0.37873366844825773,10.869696996447049,"[0, 64, 127, 191, 255]"
T52,5,Otsu,Simulated Annealing,[ 20  60  98 136],5845898.951349052,0.4609262459342859,9.850064539855495,"[0, 51, 102, 153, 204]"
T52,5,Kapur,Simulated Annealing,[ 39  16 129  79],-15.654922068119049,0.4427917988733451,13.67707093169871,"[0, 51, 102, 153, 204, 255]"
T52,5,Otsu,Variable Neighborhood Search,[ 21  65 101 141],5985387.458084081,0.4609262459342859,9.850064539855495,"[0, 51, 102, 153, 204]"
T52,5,Kapur,Variable Neighborhood Search,[ 96 135 174 209],-17.200953006744385,0.4427917988733451,13.67707093169871,"[0, 51, 102, 153, 204, 255]"
T62,2,Otsu,Simulated Annealing,[60],48677800.78244607,0.6126787328951155,18.616245392741867,"[0, 127]"
T62,2,Kapur,Simulated Annealing,[117],-7.751939296722412,0.17007333653951745,5.310576789361013,"[0, 128, 255]"
