Image,Level,Method,Optimization,Thresholds,Objective Value,SSIM,PSNR,Unique Values
T42,5,Kapur,Variable Neighborhood Search,[189 214 248 251],-12.402326345443726,0.39986422203403643,13.275156823454566,"[0, 51, 102, 153, 204, 255]"
T52,2,Otsu,Simulated Annealing,[57],36070444.14698815,0.6254933978105393,19.119145240116538,"[0, 127]"
T52,2,Kapur,Simulated Annealing,[73],-6.8935627937316895,0.1596738349707836,5.012542791068321,"[0, 128, 255]"
T52,2,Otsu,Variable Neighborhood Search,[134],125617565.1910092,0.6254933978105393,19.119145240116538,"[0, 127]"
T52,2,Kapur,Variable Neighborhood Search,[189],-7.7408483028411865,0.1596738349707836,5.012542791068321,"[0, 128, 255]"
T52,3,Otsu,Simulated Annealing,[ 45 112],15534032.697723359,0.6055590248124427,13.950123452388876,"[0, 85, 170]"
T52,3,Kapur,Simulated Annealing,[ 3 52],-8.916209816932678,0.2967324174109672,8.006445677739064,"[0, 85, 170, 255]"
T52,3,Otsu,Variable Neighborhood Search,[145 190],140102219.54448727,0.6055590248124427,13.950123452388876,"[0, 85, 170]"
T52,3,Kapur,Variable Neighborhood Search,[ 34 205],-10.024593353271484,0.2967324174109672,8.006445677739064,"[0, 85, 170, 255]"
T52,4,Otsu,Simulated Annealing,[ 36  87 130],9654839.509410651,0.5393467477024719,11.509577148836376,"[0, 63, 126, 189]"
T52,4,Kapur,Simulated Annealing,[75 41 14],-12.16651451587677,0.37873366844825773,10.869696996447049,"[0, 64, 127, 191, 255]"
T52,4,Otsu,Variable Neighborhood Search,[150 228 230],148427807.24936122,0.5393467477024719,11.509577148836376,"[0, 63, 126, 189]"
T52,4,Kapur,Variable Neighborhood Search,[ 14 136 206],-13.139943242073059,0.37873366844825773,10.869696996447049,"[0, 64, 127, 191, 255]"
T52,5,Otsu,Simulated Annealing,[ 20  98  60 136],5845898.951349052,0.4609262459342859,9.850064539855495,"[0, 51, 102, 153, 204]"
T52,5,Kapur,Simulated Annealing,[104 206  71 131],-16.660876035690308,0.4427917988733451,13.67707093169871,"[0, 51, 102, 153, 204, 255]"
T52,5,Otsu,Variable Neighborhood Search,[ 95 179 215 232],64398831.715189286,0.4609262459342859,9.850064539855495,"[0, 51, 102, 153, 204]"
T52,5,Kapur,Variable Neighborhood Search,[189 214 248 251],-12.233016014099121,0.4427917988733451,13.67707093169871,"[0, 51, 102, 153, 204, 255]"
T62,2,Otsu,Simulated Annealing,[60],48677800.78244607,0.6126787328951155,18.616245392741867,"[0, 127]"
T62,2,Kapur,Simulated Annealing,[47],-6.519483685493469,0.17007333653951745,5.310576789361013,"[0, 128, 255]"
T62,2,Otsu,Variable Neighborhood Search,[134],127975359.50336415,0.6126787328951155,18.616245392741867,"[0, 127]"
T62,2,Kapur,Variable Neighborhood Search,[134],-7.8662121295928955,0.17007333653951745,5.310576789361013,"[0, 128, 255]"
T62,3,Otsu,Simulated Annealing,[ 47 121],19116748.535799958,0.5984087909585768,14.146054953767974,"[0, 85, 170]"
T62,3,Kapur,Simulated Annealing,[ 3 66],-9.1522156894207,0.30613600685102377,8.491522572922554,"[0, 85, 170, 255]"
T62,3,Otsu,Variable Neighborhood Search,[ 49 103],21803643.03334455,0.5984087909585768,14.146054953767974,"[0, 85, 170]"
T62,3,Kapur,Variable Neighborhood Search,[ 53 105],-10.131325364112854,0.30613600685102377,8.491522572922554,"[0, 85, 170, 255]"
T62,4,Otsu,Simulated Annealing,[ 40  96 145],11518133.5231876,0.5414180784557779,11.764294542106601,"[0, 63, 126, 189]"
T62,4,Kapur,Simulated Annealing,[ 7 23 68],-11.819494217634201,0.39674204919990536,11.590330051202614,"[0, 64, 127, 191, 255]"
T62,4,Otsu,Variable Neighborhood Search,[187 216 251],195104651.2752193,0.5414180784557779,11.764294542106601,"[0, 63, 126, 189]"
T62,4,Kapur,Variable Neighborhood Search,[ 14 199 205],-11.30307012796402,0.39674204919990536,11.590330051202614,"[0, 64, 127, 191, 255]"
T62,5,Otsu,Simulated Annealing,[ 22 105  64 152],7671912.770374881,0.4728399280647977,10.122377415965634,"[0, 51, 102, 153, 204]"
T62,5,Kapur,Simulated Annealing,[ 43 153  16  67],-15.860010266304016,0.4620440832360095,14.613138520456857,"[0, 51, 102, 153, 204, 255]"
T62,5,Otsu,Variable Neighborhood Search,[ 26 120 120 189],18589846.184364405,0.4728399280647977,10.122377415965634,"[0, 51, 102, 153, 204]"
T62,5,Kapur,Variable Neighborhood Search,[199 205 214 251],-12.72143030166626,0.4620440832360095,14.613138520456857,"[0, 51, 102, 153, 204, 255]"
